
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  UDP    0.0.0.0:49191          *:*                                    8408
  UDP    0.0.0.0:49192          *:*                                    8408
  UDP    0.0.0.0:65071          *:*                                    17648
  UDP    127.0.0.1:1900         *:*                                    16840
  UDP    127.0.0.1:50482        *:*                                    22656
  UDP    127.0.0.1:53185        *:*                                    5596
  UDP    127.0.0.1:59238        *:*                                    16840
  UDP    127.0.0.1:65070        *:*                                    17648
  UDP    172.25.130.209:67      *:*                                    8408
  UDP    172.25.130.209:68      *:*                                    8408
  UDP    172.25.130.209:1900    *:*                                    16840
  UDP    172.25.130.209:59239   *:*                                    16840
  UDP    192.168.79.1:137       *:*                                    4
  UDP    192.168.79.1:138       *:*                                    4
  UDP    192.168.79.1:1900      *:*                                    16840
  UDP    192.168.79.1:59237     *:*                                    16840
  UDP    192.168.217.1:137      *:*                                    4
  UDP    192.168.217.1:138      *:*                                    4
  UDP    192.168.217.1:1900     *:*                                    16840
  UDP    192.168.217.1:59236    *:*                                    16840
  UDP    210.92.231.29:137      *:*                                    4
  UDP    210.92.231.29:138      *:*                                    4
  UDP    210.92.231.29:1900     *:*                                    16840
  UDP    210.92.231.29:59235    *:*                                    16840
  UDP    [::]:500               *:*                                    4140
  UDP    [::]:3389              *:*                                    1684
  UDP    [::]:4500              *:*                                    4140
  UDP    [::]:5353              *:*                                    3200
  UDP    [::]:5355              *:*                                    3200
  UDP    [::]:49193             *:*                                    8408
  UDP    [::1]:1900             *:*                                    16840
  UDP    [::1]:59233            *:*                                    16840
  UDP    [fe80::7d17:70c6:88e1:d05c%15]:1900  *:*                                    16840
  UDP    [fe80::7d17:70c6:88e1:d05c%15]:59234  *:*                                    16840
  UDP    [fe80::b88a:8b63:7957:7574%4]:1900  *:*                                    16840
  UDP    [fe80::b88a:8b63:7957:7574%4]:59232  *:*                                    16840
  UDP    [fe80::c58a:9e30:35d4:753e%19]:1900  *:*                                    16840
  UDP    [fe80::c58a:9e30:35d4:753e%19]:59231  *:*                                    16840
  UDP    [fe80::ede2:742b:4cf8:c4c6%3]:1900  *:*                                    16840
  UDP    [fe80::ede2:742b:4cf8:c4c6%3]:59230  *:*                                    16840
